doc_id,pub_title,authors,SEFA_authors,pub_date,publication_link,author_links,keywords_list,abstract
1,A bibliometric review of the Waqf literature,"Muneer M. Alshater, M. Kabir Hassan, Mamunur Rashid, Rashedul Hasan",['Rashedul Hasan'],Jun 2022,https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-review-of-the-waqf-literature,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],"['Waqf', 'Islamic social finance', 'Bibliometric study', 'B23', 'I31', 'B29', 'Islamic social institutions', 'Awqaf', 'Islamic social Finance', 'L31', 'Bibliometric', 'P45', 'M14']","Waqf received research attention due to its ability to contribute to socio-economic development. While a high volume of literary evidence on this Islamic social finance instrument is available, the research motivation and study findings are diverse. Therefore, we conduct a bibliometric analysis of waqf literature to understand the pattern and direction of research on Waqf broadly. We collect 319 articles, and reviews on Waqf extracted from the Scopus database, covering a period exceeding 100 years from 1914 until June 2020. We employ RStudio, VOSviewer, and Microsoft Excel for citation analysis, content, and network analyses. A systematic review of recent publications complemented the bibliometric analysis. Alongside revealing the most relevant scientific actors in waqf literature, most researchers on Waqf were from Malaysia; they conducted studies widely on cash Waqf. As a result, we identify four research themes for waqf studies which include (1) Cash Waqf endowment, (2) Islamic accountability and Waqf, (3) Waqf and Islamic social finance, and (4) Governance for Waqf endowment. This is the first study to provide a bibliometric review of waqf literature to address gaps in the existing research and offer directions for future research which could benefit early-career Islamic finance researchers."
2,A note on COVID-19 instigated maximum drawdown in Islamic markets versus conventional counterparts,"M. Kabir Hassan, Md Iftekhar Hasan Chowdhury, Faruk Balli, Rashedul Hasan",['Rashedul Hasan'],May 2022,https://pureportal.coventry.ac.uk/en/publications/a-note-on-covid-19-instigated-maximum-drawdown-in-islamic-markets,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],"['COVID-19', 'Islamic equity market', 'Maximum drawdown']","This study uncovers the impact of the COVID-19 on the Islamic equity markets compared to their conventional counterparts. The extremely large-scale drawdown across the markets signifies an indiscriminate impact. To some extent, Asian Islamic markets show relative resilience to their counterparts. Both Islamic and non-Islamic Asian markets signpost a quicker recovery than the rest of the regions, the Middle East & Africa, Europe, and America. It appears that a higher return leads to a smaller maximum drawdown, while higher volatility leads to a larger maximum drawdown. Despite the large-scale drawdown, a number of markets secure a positive return where Islamic markets outperform the counterparts. Conventional markets respond to the COVID-19 aftershock homogenously as a result of their high interlinkages. Collectively, these results reinforce the view that in the crisis period, Islamic markets are more resilient."
3,Bank stock valuation theories: do they explain prices based on theories?,"Ken Yien Leong, Mohamed Ariff, Alireza Zarei, M. Ishaq Bhatti",['Alireza Zarei'],1 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the,['https://pureportal.coventry.ac.uk/en/persons/alireza-zarei'],"['Bank stocks', 'Bursa Malaysia', 'Concordance test', 'Forecasting prices', 'Stock valuation theories']","PurposeThe objective of this paper is to investigate the validity of stock valuation theories and their forecasting ability by conducting an empirical study. It employs four most commonly used theories which are then tested using 19-year banking-firm market data. The usefulness of these models demonstrates with promising results.Design/methodology/approachThis paper conducts a multi-country study using the multi-model testing approach to evaluate validity of theories and forecast accuracy of banking firms. It employs four methodology models used in finance literature; (1) P/E multiples model, (2) accounting-information-based clean surplus model, (3) theoretical model based on Gordon and Shapiro (1956) method and (4) the Damodaran-Kottler Free Cash Flow or FCF theory based on discounting model.FindingsThe tests show that the four theories under tests have a significant fit with actual price formation. The explained variation ranges from 72 to 92%, so the explanatory power of the theories accounting for variations in bank prices over 19-year period is substantial. The models fit suggest that the P/E model has superior predictive power followed by the RIM, DDM and FCFE. These findings shed new lights on the relative performance of valuation models.Research limitations/implicationsThe study is limited in terms of the sample period size for 1999–2019. The availability of essential financial data prior to 2000 is very limited, so one can understand interpretation of statistical results under certain assumptions.Practical implicationsThe paper suggests that one-factor model is better than the two-factor model.Originality/valueThe work done in this paper is unpublished and original contribution to banking and finance literature and also not under consideration for publication in any other journal."
4,CEO Duality and Firm Performance: A Systematic Review and Research Agenda,Mei Yu,['Mei Yu'],25 May 2022,https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research,['https://pureportal.coventry.ac.uk/en/persons/mei-yu'],"['CEO duality', 'board leadership structure', 'corporate governance', 'firm performance', 'systematic review']","This paper systematically reviews 314 empirical studies which examine the relationship between board leadership structure and firm performance. The results show that the mixed research findings are due to different firm performance measurements, research designs, sampling practices and approaches of dealing with endogeneity issues. Studies utilizing multiple-country data, multinational companies, small firms or regions covering Africa, the Middle East, Eastern-Europe and South America are under-represented. It critiques the methodological weaknesses of some empirical studies and proposes that future researchers should use multiple firm performance measurements, a longitudinal research design, and an integrative framework to better control the direct and moderating factors. Future researchers may advance the robustness of research by using multiple theoretical lenses to consider how various governance factors moderate the relationship between board leadership structure and firm performance, particularly the different ownership structures, managerial discretion contexts and national institutional factors. "
5,CEO Financial Experience and Firms’ Earnings Management in M&A: the importance of Experience Specificity,"Thai Nguyen, Thang Nguyen, Panagiotis Andrikopoulos","['Thai Nguyen', 'Thang Nguyen', 'Panagiotis Andrikopoulos']",7 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/ceo-financial-experience-and-firms-earnings-management-in-mampa-t,"['https://pureportal.coventry.ac.uk/en/persons/thai-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/thang-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos']","['Corporate governance', 'CEO experience', 'M&A', 'Audit committee', 'earnings management']","This study investigates the impact of CEOs’ financial experience on firms earnings management around M&A. Adopting theoretical arguments on personal working experience, we hypothesize that CEOs’ general financial experience may not have a significant impact on their decisions to manipulate earnings while specific experience in audit committee functions will put them in an advantageous position to inflate earnings. Our findings, based on the analysis of 545 UK firms that undertook M&A during 2001-2018, are consistent with these hypotheses. Further investigation reveals that CEOs experienced in audit committees are able to manage earnings as they have specific knowledge on how to reduce the committees’ independence. Our study contributes to the current debate on the efficiency of corporate governance mechanisms by highlighting the importance of specificity of CEOs’ experience. "
6,CEO tenure and cost of debt,"Andrews Owusu, Frank Kwabi, Ernest Ezeani, Ruth Owusu-Mensah",['Ruth Owusu-Mensah'],Aug 2022,https://pureportal.coventry.ac.uk/en/publications/ceo-tenure-and-cost-of-debt,['https://pureportal.coventry.ac.uk/en/persons/ruth-owusu-mensah-2'],"['Board independence', 'CEO tenure', 'Cost of debt']","In this study, we investigate the relationship between CEO tenure and cost of debt. Using a sample of the FTSE All-Share Index firms listed on the London Stock Exchange for the period 2009 to 2018 and the ordinary least squares regression (OLS) estimation method, we find that cost of debt is higher for firms with CEOs in their early tenure in office than those in their later tenure in office. Further analysis shows that board independence attributes including (1) the proportion of independent directors on the board, (2) full (100%) independent audit committee members, and (3) a lead independent director representation on the board interact with CEO early tenure in office to reduce cost of debt due to the board’s effective monitoring ability when the CEO is new and risk-seeking. Our study extends CEO tenure and corporate outcomes in general and in particular CEO risk-taking incentives and cost of debt literature, and has important implications for firms seeking to raise finance from the debt market when their CEO is new as well as identifying the control mechanisms that they need to put in place to lower the cost of debt."
7,Cheating Behaviour among OPEC Member-States and Oil Price Fairness and Stability: An Empirical Analysis,"Masud Ibrahim, Kamil Omoteso",['Masud Ibrahim'],2022,https://pureportal.coventry.ac.uk/en/publications/cheating-behaviour-among-opec-member-states-and-oil-price-fairnes,['https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim'],"['OPEC cartel', 'Cheating', 'Oil prices', 'Fairness perceptions', 'Oil production', 'Oil policy']","Within the context of a target oil price band regime, this paper posits that cheating behaviour in OPEC has ethical and accountability implications for the organisation. It also impacts on its reputation and ability to ensure stable and fair oil prices in the oil markets. Based on datasets covering the period from 2000 to 2012 (i.e. production quota era), analysed using the vector autoregression/vector error correction (VAR-VEC) framework, the study’s results indicate that OPEC cheating, mainly instigated by the amount of spare production capacity available to OPEC members, does not seem to have a significant direct effect on international oil prices. However, the degree of cheating by OPEC member-states might disrupt its ability to maintain surplus capacity enough to reduce price speculation in the oil markets. Should cheating behaviour in OPEC continue unabated, this could jeopardise an effective energy regulatory framework and market transparency. The paper, therefore, recommends a policy action in OPEC to support the redesigning of the existing quota system that is fair and just to its members and capable of controlling any cheating behaviour. "
8,Clinicians’ informal acquisition of accounting literacy in UK clinical commissioning groups,"John Ayuk Enombu, Pawan Adhikari",['John Ayuk Enombu'],22 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/clinicians-informal-acquisition-of-accounting-literacy-in-uk-clin,['https://pureportal.coventry.ac.uk/en/persons/john-ayuk-enombu'],"['Accounting information', 'Clinical Commissioning Groups (CCGs)', 'informal learning', 'situated learning theory']","This article discusses how clinicians acquire accounting literacy informally by working alongside accountants, highlighting how participation in different activities situated within specific contexts fosters informal learning. Data were gathered from interviews, document analysis and participant observation. The study has identified three processes of acquiring accounting information informally; attachment to managers, hearing the same information repeatedly and participation in goal-driven activities. Interdependency between the clinicians and accountants and their shared version have been the two key factors in clinical commissioning groups (CCG) facilitating the informal learning process."
9,Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,"Ahmad Abras, Kelum Jayasinghe",['Ahmad Abras'],10 May 2022,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina,['https://pureportal.coventry.ac.uk/en/persons/ahmad-abras'],"['Epistemic\xa0community', 'Institutional logics', 'International accounting harmonisation', 'Islamic accounting', 'Power relations', 'Sharia']","Purpose: This paper examines the historical evolvement of competing institutional logics (i.e. religion, profession, state, market and community) underpinning Islamic accounting standardisation projects and power relations between internal actors representing these logics.Design/methodology/approach: The paper adopts a case-study approach and analyses two Islamic accounting standardisation projects implemented at the national and international levels. Documentary review and semi-structured interviews are used for data collection. Analysis is informed by the ‘Institutional Logics Perspective’ and Bourdieu’s notion of ‘power as capital in a field’.Findings: Research findings illustrate how some local actors pre-dispose themselves in promoting strict compliance to IFRS, while others endeavour to ensure compliance to ‘Islamic Sharia requirements’ in financial reporting. In this power dynamic, there is an ongoing ‘constructive resistance’ actively exerted by the latter group against the former, preserving the existence of religion-based reporting demands in Islamic accounting standardisation approaches. The paper also highlights chronological ‘dynamic’ accounts that explain the evolvement of institutional logics prevailing in these projects over different historical stages at both national and international levels.Originality/value: This paper’s findings contrast and challenge the existing assumption that the ‘epistemic community’ promoting IFRS agenda always faces ‘passive responses’ from local actors. Moreover, the paper’s offering of a dynamic view to institutional logic mapping extends the previously used ‘static analyses’ of logics prevailing in Islamic accounting standardisation projects."
10,Corporate Governance and IFSB Standard-4: Evidence from Islamic Banks in Bangladesh,"Md. Harun Ur Rashid, Ruma Khanam, Hafij Ullah",['Hafij Ullah'],18 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-ifsb-standard-4-evidence-from-islamic-ba,['https://pureportal.coventry.ac.uk/en/persons/hafij-ullah'],"['Bangladesh', 'Compliance status', 'Corporate governance', 'IFSB standards', 'Islamic banks']","Purpose: This paper aims to examine the compliance status of Islamic banks in Bangladesh with Shari’ah-based accounting standards named Islamic Financial Services Board (IFSB) standard-4 and its association with corporate governance. Design/methodology/approach: The six years of secondary data, including the annual reports of 2013–2018, were collected from the websites of all the seven listed Islamic banks, i.e. 100% of the population available during the period of study. The study used a content analysis approach for systematically categorizing and analysing the contents disclosed in the annual report. A total compliance score based on 133 reporting items of IFSB standard-4 were considered for content analysis. Furthermore, this study applied the ordinary least square to investigate the impact of corporate governance on IFSB standard-4. Findings: This study found that the level of compliance with the IFSB standard by the Islamic banks in Bangladesh is poor, as the overall compliance status is 44.83%. Further, this study observed a significant and positive influence of the Shari’ah supervisory committee, the board size, accounting experts on the board, foreign ownership and institutional ownership on the level of compliance with IFSB standard-4. On the other hand, this study found a negative effect of directors’ ownership on the level of compliance with IFSB standard-4. Practical implications: This study provides the management of Islamic banks an insight into developing their governance characteristics to comply with Islamic accounting and reporting standards. Moreover, this study expects to facilitate the management of Islamic banks in designing their accounting and reporting outlines to enhance the level of compliance with the IFSB standards. Originality/value: This pioneering study on IFSB standards opens an avenue to the researchers exploring the accounting and reporting status of Islamic banks considering the requirements of the IFSB standards."
